DATE,CSUSHPISA,Year,Month
1987-01-01,63.964,1987,1
1987-02-01,64.424,1987,2
1987-03-01,64.736,1987,3
1987-04-01,65.132,1987,4
1987-05-01,65.563,1987,5
1987-06-01,66.071,1987,6
1987-07-01,66.507,1987,7
1987-08-01,66.938,1987,8
1987-09-01,67.33,1987,9
1987-10-01,67.739,1987,10
1987-11-01,68.107,1987,11
1987-12-01,68.506,1987,12
1988-01-01,68.858,1988,1
1988-02-01,69.263,1988,2
1988-03-01,69.64,1988,3
1988-04-01,69.977,1988,4
1988-05-01,70.426,1988,5
1988-06-01,70.889,1988,6
1988-07-01,71.354,1988,7
1988-08-01,71.799,1988,8
1988-09-01,72.24,1988,9
1988-10-01,72.635,1988,10
1988-11-01,73.071,1988,11
1988-12-01,73.466,1988,12
1989-01-01,73.946,1989,1
1989-02-01,74.382,1989,2
1989-03-01,74.778,1989,3
1989-04-01,75.086,1989,4
1989-05-01,75.306,1989,5
1989-06-01,75.479,1989,6
1989-07-01,75.657,1989,7
1989-08-01,75.835,1989,8
1989-09-01,76.056,1989,9
1989-10-01,76.283,1989,10
1989-11-01,76.52,1989,11
1989-12-01,76.705,1989,12
1990-01-01,76.897,1990,1
1990-02-01,77.053,1990,2
1990-03-01,77.202,1990,3
1990-04-01,77.278,1990,4
1990-05-01,77.297,1990,5
1990-06-01,77.259,1990,6
1990-07-01,77.139,1990,7
1990-08-01,77.009,1990,8
1990-09-01,76.85,1990,9
1990-10-01,76.699,1990,10
1990-11-01,76.369,1990,11
1990-12-01,76.185,1990,12
1991-01-01,75.915,1991,1
1991-02-01,75.734,1991,2
1991-03-01,75.569,1991,3
1991-04-01,75.565,1991,4
1991-05-01,75.764,1991,5
1991-06-01,75.993,1991,6
1991-07-01,76.082,1991,7
1991-08-01,76.109,1991,8
1991-09-01,76.193,1991,9
1991-10-01,76.074,1991,10
1991-11-01,76.013,1991,11
1991-12-01,76.055,1991,12
1992-01-01,76.086,1992,1
1992-02-01,76.155,1992,2
1992-03-01,76.276,1992,3
1992-04-01,76.345,1992,4
1992-05-01,76.398,1992,5
1992-06-01,76.331,1992,6
1992-07-01,76.263,1992,7
1992-08-01,76.229,1992,8
1992-09-01,76.238,1992,9
1992-10-01,76.375,1992,10
1992-11-01,76.557,1992,11
1992-12-01,76.673,1992,12
1993-01-01,76.783,1993,1
1993-02-01,76.836,1993,2
1993-03-01,76.867,1993,3
1993-04-01,76.935,1993,4
1993-05-01,77.037,1993,5
1993-06-01,77.242,1993,6
1993-07-01,77.428,1993,7
1993-08-01,77.612,1993,8
1993-09-01,77.794,1993,9
1993-10-01,77.94,1993,10
1993-11-01,78.147,1993,11
1993-12-01,78.325,1993,12
1994-01-01,78.59,1994,1
1994-02-01,78.726,1994,2
1994-03-01,78.855,1994,3
1994-04-01,78.986,1994,4
1994-05-01,79.221,1994,5
1994-06-01,79.421,1994,6
1994-07-01,79.594,1994,7
1994-08-01,79.78,1994,8
1994-09-01,79.918,1994,9
1994-10-01,80.064,1994,10
1994-11-01,80.149,1994,11
1994-12-01,80.295,1994,12
1995-01-01,80.426,1995,1
1995-02-01,80.527,1995,2
1995-03-01,80.597,1995,3
1995-04-01,80.66,1995,4
1995-05-01,80.703,1995,5
1995-06-01,80.784,1995,6
1995-07-01,80.936,1995,7
1995-08-01,81.109,1995,8
1995-09-01,81.306,1995,9
1995-10-01,81.481,1995,10
1995-11-01,81.618,1995,11
1995-12-01,81.735,1995,12
