DATE,COMPUTSA
01-01-1968,1257
01-02-1968,1174
01-03-1968,1323
01-04-1968,1328
01-05-1968,1367
01-06-1968,1184
01-07-1968,1370
01-08-1968,1279
01-09-1968,1397
01-10-1968,1348
01-11-1968,1367
01-12-1968,1390
01-01-1969,1257
01-02-1969,1414
01-03-1969,1558
01-04-1969,1318
01-05-1969,1430
01-06-1969,1455
01-07-1969,1432
01-08-1969,1393
01-09-1969,1367
01-10-1969,1406
01-11-1969,1404
01-12-1969,1402
01-01-1970,1434
01-02-1970,1430
01-03-1970,1317
01-04-1970,1354
01-05-1970,1334
01-06-1970,1431
01-07-1970,1384
01-08-1970,1609
01-09-1970,1383
01-10-1970,1437
01-11-1970,1457
01-12-1970,1437
01-01-1971,1471
01-02-1971,1448
01-03-1971,1489
01-04-1971,1709
01-05-1971,1637
01-06-1971,1637
01-07-1971,1699
01-08-1971,1896
01-09-1971,1804
01-10-1971,1815
01-11-1971,1844
01-12-1971,1895
01-01-1972,1942
01-02-1972,2061
01-03-1972,1981
01-04-1972,1970
01-05-1972,1896
01-06-1972,1936
01-07-1972,1930
01-08-1972,2102
01-09-1972,2053
01-10-1972,1995
01-11-1972,1985
01-12-1972,2121
01-01-1973,2162
01-02-1973,2124
01-03-1973,2196
01-04-1973,2195
01-05-1973,2299
01-06-1973,2258
01-07-1973,2066
01-08-1973,2056
01-09-1973,2061
01-10-1973,2052
01-11-1973,1925
01-12-1973,1869
01-01-1974,1932
01-02-1974,1938
01-03-1974,1806
01-04-1974,1830
01-05-1974,1715
01-06-1974,1897
01-07-1974,1695
01-08-1974,1634
01-09-1974,1651
01-10-1974,1630
01-11-1974,1590
01-12-1974,1540
01-01-1975,1588
01-02-1975,1346
01-03-1975,1293
01-04-1975,1278
01-05-1975,1349
01-06-1975,1234
01-07-1975,1276
01-08-1975,1290
01-09-1975,1333
01-10-1975,1134
01-11-1975,1383
01-12-1975,1306
01-01-1976,1258
01-02-1976,1311
01-03-1976,1347
01-04-1976,1332
01-05-1976,1440
01-06-1976,1390
01-07-1976,1322
01-08-1976,1374
01-09-1976,1371
01-10-1976,1388
01-11-1976,1428
01-12-1976,1457
01-01-1977,1457
01-02-1977,1655
01-03-1977,1619
01-04-1977,1548
01-05-1977,1555
01-06-1977,1636
01-07-1977,1687
01-08-1977,1673
01-09-1977,1865
01-10-1977,1675
01-11-1977,1770
01-12-1977,1634
01-01-1978,1777
01-02-1978,1719
01-03-1978,1785
01-04-1978,1843
