DATE,WPUSI012011
01-01-1947,22.2
01-02-1947,22.5
01-03-1947,22.9
01-04-1947,23.2
01-05-1947,23.3
01-06-1947,23.2
01-07-1947,23.4
01-08-1947,23.7
01-09-1947,24.1
01-10-1947,24.3
01-11-1947,24.6
01-12-1947,24.8
01-01-1948,25.2
01-02-1948,25.3
01-03-1948,25.5
01-04-1948,25.5
01-05-1948,25.7
01-06-1948,25.8
01-07-1948,26.1
01-08-1948,26.7
01-09-1948,26.8
01-10-1948,26.7
01-11-1948,26.6
01-12-1948,26.5
01-01-1949,26.4
01-02-1949,26.2
01-03-1949,26.1
01-04-1949,25.9
01-05-1949,25.6
01-06-1949,25.4
01-07-1949,25.1
01-08-1949,25
01-09-1949,25
01-10-1949,25.1
01-11-1949,25.2
01-12-1949,25.3
01-01-1950,25.6
01-02-1950,25.8
01-03-1950,26
01-04-1950,26.2
01-05-1950,26.6
01-06-1950,26.9
01-07-1950,27.3
01-08-1950,28
01-09-1950,28.6
01-10-1950,29
01-11-1950,29.1
01-12-1950,29.6
01-01-1951,30.1
01-02-1951,30.2
01-03-1951,30.2
01-04-1951,30.2
01-05-1951,30.2
01-06-1951,30
01-07-1951,29.9
01-08-1951,29.7
01-09-1951,29.7
01-10-1951,29.7
01-11-1951,29.6
01-12-1951,29.5
01-01-1952,29.5
01-02-1952,29.5
01-03-1952,29.5
01-04-1952,29.6
01-05-1952,29.5
01-06-1952,29.5
01-07-1952,29.5
01-08-1952,29.7
01-09-1952,29.7
01-10-1952,29.7
01-11-1952,29.6
01-12-1952,29.6
01-01-1953,29.6
01-02-1953,29.7
01-03-1953,29.8
01-04-1953,30
01-05-1953,30.1
01-06-1953,30.1
01-07-1953,30.4
01-08-1953,30.2
01-09-1953,30.1
01-10-1953,30
01-11-1953,29.9
01-12-1953,29.9
01-01-1954,29.9
01-02-1954,29.8
01-03-1954,29.8
01-04-1954,29.6
01-05-1954,29.7
01-06-1954,29.6
01-07-1954,30.1
01-08-1954,30.2
01-09-1954,30.4
01-10-1954,30.4
01-11-1954,30.5
01-12-1954,30.5
01-01-1955,30.5
01-02-1955,30.7
01-03-1955,30.7
01-04-1955,30.9
01-05-1955,31
01-06-1955,31
01-07-1955,31.5
01-08-1955,31.9
01-09-1955,32.1
01-10-1955,32.2
01-11-1955,32
01-12-1955,32.1
01-01-1956,32.4
01-02-1956,32.4
01-03-1956,32.6
01-04-1956,32.8
01-05-1956,32.7
01-06-1956,32.7
01-07-1956,32.7
01-08-1956,32.9
01-09-1956,32.8
01-10-1956,32.8
01-11-1956,32.7
01-12-1956,32.6
01-01-1957,32.6
01-02-1957,32.6
01-03-1957,32.6
01-04-1957,32.7
01-05-1957,32.7
01-06-1957,32.7
01-07-1957,32.9
01-08-1957,32.8
01-09-1957,32.7
01-10-1957,32.6
01-11-1957,32.5
01-12-1957,32.5
01-01-1958,32.6
01-02-1958,32.5
01-03-1958,32.4
01-04-1958,32.3
01-05-1958,32.3
01-06-1958,32.4
01-07-1958,32.4
01-08-1958,32.7
01-09-1958,33
01-10-1958,33
01-11-1958,33
01-12-1958,33
01-01-1959,33.1
01-02-1959,33.3
01-03-1959,33.4
01-04-1959,33.7
01-05-1959,34
01-06-1959,34
01-07-1959,33.8
01-08-1959,33.8
01-09-1959,33.7
01-10-1959,33.7
01-11-1959,33.7
01-12-1959,33.7
01-01-1960,33.8
01-02-1960,33.7
01-03-1960,33.7
01-04-1960,33.6
01-05-1960,33.5
01-06-1960,33.2
01-07-1960,33
01-08-1960,32.9
01-09-1960,32.8
01-10-1960,32.6
01-11-1960,32.6
01-12-1960,32.5
01-01-1961,32.5
