DATE,L312051A027NBEA
01-01-1960,0.146
01-01-1961,0.159
01-01-1962,0.176
01-01-1963,0.195
01-01-1964,0.21
01-01-1965,0.234
01-01-1966,0.254
01-01-1967,0.278
01-01-1968,0.327
01-01-1969,0.42
01-01-1970,0.606
01-01-1971,0.944
01-01-1972,1.419
01-01-1973,1.591
01-01-1974,2.081
01-01-1975,2.288
01-01-1976,2.639
01-01-1977,3.059
01-01-1978,3.67
01-01-1979,4.586
01-01-1980,5.469
01-01-1981,6.788
01-01-1982,8.691
01-01-1983,9.465
01-01-1984,10.068
01-01-1985,11.246
01-01-1986,11.096
01-01-1987,11.506
01-01-1988,12.743
01-01-1989,14.215
01-01-1990,15.487
01-01-1991,17.055
01-01-1992,18.42
01-01-1993,20.607
01-01-1994,21.764
01-01-1995,24.396
01-01-1996,25.075
01-01-1997,23.506
01-01-1998,21.577
01-01-1999,21.072
01-01-2000,19.69
01-01-2001,20.573
01-01-2002,24.183
01-01-2003,25.93
01-01-2004,27.201
01-01-2005,27.651
01-01-2006,28.604
01-01-2007,29.512
01-01-2008,29.876
01-01-2009,32.883
01-01-2010,32.669
01-01-2011,34.23
01-01-2012,33.283
01-01-2013,33.213
01-01-2014,33.806
01-01-2015,34.859
01-01-2016,37.55
01-01-2017,35.771
01-01-2018,38.859
01-01-2019,40.185
01-01-2020,44.147
01-01-2021,45.296
