DATE,DSPIC96
01-01-1959,2191.5
01-02-1959,2198.1
01-03-1959,2210.7
01-04-1959,2225
01-05-1959,2237.1
01-06-1959,2244.6
01-07-1959,2241
01-08-1959,2227.9
01-09-1959,2228.8
01-10-1959,2230.4
01-11-1959,2246.5
01-12-1959,2268.3
01-01-1960,2273.2
01-02-1960,2273.6
01-03-1960,2276.3
01-04-1960,2285
01-05-1960,2290.1
01-06-1960,2292.2
01-07-1960,2295.9
01-08-1960,2290.6
01-09-1960,2293.9
01-10-1960,2302.3
01-11-1960,2292.8
01-12-1960,2282.4
01-01-1961,2304.5
01-02-1961,2314.1
01-03-1961,2323.9
01-04-1961,2328.6
01-05-1961,2347.6
01-06-1961,2371.7
01-07-1961,2379.8
01-08-1961,2379.9
01-09-1961,2382
01-10-1961,2407.2
01-11-1961,2429.5
01-12-1961,2444.3
01-01-1962,2438.2
01-02-1962,2449.1
01-03-1962,2465.4
01-04-1962,2476.3
01-05-1962,2477.7
01-06-1962,2478.1
01-07-1962,2488.9
01-08-1962,2491.3
01-09-1962,2492
01-10-1962,2504.3
01-11-1962,2511.2
01-12-1962,2522.9
01-01-1963,2541.1
01-02-1963,2526.1
01-03-1963,2536.8
01-04-1963,2547.1
01-05-1963,2556.9
01-06-1963,2569.8
01-07-1963,2572.6
01-08-1963,2582.9
01-09-1963,2602.3
01-10-1963,2617.3
01-11-1963,2622.9
01-12-1963,2644
01-01-1964,2652.8
01-02-1964,2661.2
01-03-1964,2724.4
01-04-1964,2739.1
01-05-1964,2753.5
01-06-1964,2762.6
01-07-1964,2775.7
01-08-1964,2788
01-09-1964,2799.1
01-10-1964,2798.2
01-11-1964,2816.3
01-12-1964,2843.4
01-01-1965,2848.9
01-02-1965,2849.6
01-03-1965,2859.1
01-04-1965,2862.1
01-05-1965,2893.8
01-06-1965,2898
01-07-1965,2928.3
01-08-1965,2942.8
01-09-1965,3019.7
01-10-1965,3004.9
01-11-1965,3026.2
01-12-1965,3038.7
01-01-1966,3040.7
01-02-1966,3053.4
01-03-1966,3065.4
01-04-1966,3053.7
01-05-1966,3058.6
01-06-1966,3071.4
01-07-1966,3081.9
01-08-1966,3097.8
01-09-1966,3116.2
01-10-1966,3126.3
01-11-1966,3140.7
01-12-1966,3138
01-01-1967,3170.2
01-02-1967,3176.3
01-03-1967,3200.2
01-04-1967,3199.2
01-05-1967,3205.7
01-06-1967,3217.5
01-07-1967,3230.4
01-08-1967,3242
01-09-1967,3241.6
01-10-1967,3246.6
01-11-1967,3266.2
01-12-1967,3272.1
01-01-1968,3289.7
01-02-1968,3313.5
01-03-1968,3344.8
01-04-1968,3356.4
01-05-1968,3370.1
01-06-1968,3385.3
01-07-1968,3378.3
01-08-1968,3382.7
01-09-1968,3383.1
01-10-1968,3395.1
01-11-1968,3407.8
01-12-1968,3419.6
01-01-1969,3413.4
01-02-1969,3414.2
01-03-1969,3420.3
01-04-1969,3415.3
01-05-1969,3454.2
01-06-1969,3478.5
01-07-1969,3502.8
01-08-1969,3524.2
01-09-1969,3532.1
01-10-1969,3540.4
01-11-1969,3546.5
01-12-1969,3552.9
01-01-1970,3571.8
01-02-1970,3583
01-03-1970,3596.8
01-04-1970,3635.5
01-05-1970,3620.7
01-06-1970,3628.1
01-07-1970,3679.6
01-08-1970,3691.3
01-09-1970,3687.3
01-10-1970,3675.4
01-11-1970,3669.8
01-12-1970,3686.5
01-01-1971,3743.1
01-02-1971,3748.2
01-03-1971,3760.5
01-04-1971,3768.3
01-05-1971,3783.5
01-06-1971,3863.6
01-07-1971,3808.6
01-08-1971,3822
01-09-1971,3844.7
01-10-1971,3857.1
01-11-1971,3866.2
01-12-1971,3885.9
01-01-1972,3866.2
01-02-1972,3889.9
01-03-1972,3906.2
01-04-1972,3904.5
01-05-1972,3933.2
01-06-1972,3945.7
01-07-1972,3974.4
01-08-1972,4011.3
01-09-1972,4026.8
01-10-1972,4127.9
01-11-1972,4173.7
01-12-1972,4192.4
